shmmitzrach,english_name,food_energy,rephrased_english,rephrased_hebrew
"שעועית לבנה יבשה מבושלת עם מלח, ללא תוספת שומן בבישול","Beans, white, dried, cooked, fat not added ",138,"Food item: Beans, white, dried, cooked, fat not added","מזון: שעועית לבנה יבשה מבושלת עם מלח, ללא תוספת שומן בבישול"
"סלט שעועית לבנה עם פטרוזיליה ומיץ לימון, ללא תוספת שמן","Beans, white, salad, with parsley and lemon juice, no added oil",124,"Food item: Beans, white, salad, with parsley and lemon juice, no added oil","מזון: סלט שעועית לבנה עם פטרוזיליה ומיץ לימון, ללא תוספת שמן"
שעועית לבנה יבשה,"Beans, white, dried",333,"Food item: Beans, white, dried",מזון: שעועית לבנה יבשה
שעועית לבנה מבושלת ברסק עגבניות ושמן זית,"Beans, white, cooked in tomato paste, with olive oil",142,"Food item: Beans, white, cooked in tomato paste, with olive oil",מזון: שעועית לבנה מבושלת ברסק עגבניות ושמן זית
שעועית שחורה מבושלת ברסק עגבניות ושמן קנולה,"Beans, black, cooked in tomato paste and canola oil",121,"Food item: Beans, black, cooked in tomato paste and canola oil",מזון: שעועית שחורה מבושלת ברסק עגבניות ושמן קנולה
שעועית לבנה מבושלת ברסק עגבניות ושמן קנולה,"Beans, white,  cooked in tomato paste and canola oil",142,"Food item: Beans, white,  cooked in tomato paste and canola oil",מזון: שעועית לבנה מבושלת ברסק עגבניות ושמן קנולה
"שעועית לבנה מבושלת עם בטטה,גזר ובצל, ללא תוספת שמן","Beans, white, cooked with sweet potato, carrots and onions, fat not added",103,"Food item: Beans, white, cooked with sweet potato, carrots and onions, fat not added","מזון: שעועית לבנה מבושלת עם בטטה,גזר ובצל, ללא תוספת שמן"
שעועית לבנה מבושלת ברוטב עגבניות ושמן סויה,"Beans, white, in tomato sauce, with soy oil",118,"Food item: Beans, white, in tomato sauce, with soy oil",מזון: שעועית לבנה מבושלת ברוטב עגבניות ושמן סויה
"שעועית לבנה ברסק עגבניות, משומר","Beans, white, cooked, in tomato paste",90,"Food item: Beans, white, cooked, in tomato paste","מזון: שעועית לבנה ברסק עגבניות, משומר"
"שעועית שחורה יבשה, מבושלת ללא תוספת שומן בבישול, עם מלח","Beans, black, dried, cooked, fat not added ",129,"Food item: Beans, black, dried, cooked, fat not added","מזון: שעועית שחורה יבשה, מבושלת ללא תוספת שומן בבישול, עם מלח"
סלט פול יבש מבושל עם מיץ לימון ושמן זית,"Beans, fava, salad, cooked with lemon juice, with olive oil",127,"Food item: Beans, fava, salad, cooked with lemon juice, with olive oil",מזון: סלט פול יבש מבושל עם מיץ לימון ושמן זית
"פול טרי מבושל, ללא תוספת שומן בבישול, עם מלח","Beans, fava,  cooked, fat not added ",109,"Food item: Beans, fava,  cooked, fat not added","מזון: פול טרי מבושל, ללא תוספת שומן בבישול, עם מלח"
"פול טרי, ללא תרמילים","Beans, broadbeans, without pods",72,"Food item: Beans, broadbeans, without pods","מזון: פול טרי, ללא תרמילים"
סלט פול ללא שמן,"Beans, fava, salad",96,"Food item: Beans, fava, salad",מזון: סלט פול ללא שמן
"פול טרי, עם תרמילים","Beans, fava, in pod, raw",331,"Food item: Beans, fava, in pod, raw","מזון: פול טרי, עם תרמילים"
פול טרי מבושל עם שמן זית,"Beans, fava, fresh, cooked with olive oil",149,"Food item: Beans, fava, fresh, cooked with olive oil",מזון: פול טרי מבושל עם שמן זית
שעועית לימה יבשה מבושלת ללא תוספת שמן,"Beans, lima, dry, cooked, fat not added ",114,"Food item: Beans, lima, dry, cooked, fat not added",מזון: שעועית לימה יבשה מבושלת ללא תוספת שמן
פול מטוגן בנוסח מצרי,"Beans, fava, fried, Egyptian style",366,"Food item: Beans, fava, fried, Egyptian style",מזון: פול מטוגן בנוסח מצרי
שעועית אדומה יבשה,"Beans,kidney, red, dried",337,"Food item: Beans,kidney, red, dried",מזון: שעועית אדומה יבשה
"פול יבש, לא מבושל","Beans, broadbeans/fava beans, mature seeds, raw",283,"Food item: Beans, broadbeans/fava beans, mature seeds, raw","מזון: פול יבש, לא מבושל"
"פול יבש, מבושל","Beans, broadbeans/fava beans, mature seeds, cooked, boiled, without salt",102,"Food item: Beans, broadbeans/fava beans, mature seeds, cooked, boiled, without salt","מזון: פול יבש, מבושל"
תורמוס מבושל,"Beans, lupin, cooked",119,"Food item: Beans, lupin, cooked",מזון: תורמוס מבושל
תורמוס יבש,"Beans, lupins, mature seeds, raw",371,"Food item: Beans, lupins, mature seeds, raw",מזון: תורמוס יבש
"סויה, פולים מבושלים, עם מלח, ללא תוספת שומן בבישול","Beans, soybeans, cooked, fat not added ",172,"Food item: Beans, soybeans, cooked, fat not added","מזון: סויה, פולים מבושלים, עם מלח, ללא תוספת שומן בבישול"
"סויה, שבבים /גולש, לא מבושל, B&D","Soy, flakes, uncooked, B&D",352,"Food item: Soy, flakes, uncooked, B&D","מזון: סויה, שבבים /גולש, לא מבושל, B&D"
"סויה, פתיתים מוקפצים עם בצל,פטריות ושמן קנולה","Soy, flakes, stir-fried with onion, mushrooms and canola oil",79,"Food item: Soy, flakes, stir-fried with onion, mushrooms and canola oil","מזון: סויה, פתיתים מוקפצים עם בצל,פטריות ושמן קנולה"
"סויה, פולים יבשים","Beans, soybeans, dried",446,"Food item: Beans, soybeans, dried","מזון: סויה, פולים יבשים"
"סויה, פתיתים מבושלים ללא תוספת שומן בבישול","Soy, flakes, cooked, fat not added",102,"Food item: Soy, flakes, cooked, fat not added","מזון: סויה, פתיתים מבושלים ללא תוספת שומן בבישול"
"סלט חומוס, ביתי","Salad, humus, homemade",269,"Food item: Salad, humus, homemade","מזון: סלט חומוס, ביתי"
"סלט חומוס, פיקניק, שטראוס, שמיר, צבר, מיקי","Salad, humus, Picnic/Strauss/Shamir/Tzabar/Miki",322,"Food item: Salad, humus, Picnic/Strauss/Shamir/Tzabar/Miki","מזון: סלט חומוס, פיקניק, שטראוס, שמיר, צבר, מיקי"
"סלט חומוס לבנוני/חריף, צבר, שמיר","Salad, humus, Lebanese/spicy, Tzabar/Shamir",290,"Food item: Salad, humus, Lebanese/spicy, Tzabar/Shamir","מזון: סלט חומוס לבנוני/חריף, צבר, שמיר"
"סלט חומוס עם טחינה, צבר","Salad, humus with tahini, Tzabar",223,"Food item: Salad, humus with tahini, Tzabar","מזון: סלט חומוס עם טחינה, צבר"
"סלט חומוס עם טחינה/בלאדי/מזרחי,סלטי שמיר","Salad, humus, with tahini/Baladi/Mizrachi, Shamir",313,"Food item: Salad, humus, with tahini/Baladi/Mizrachi, Shamir","מזון: סלט חומוס עם טחינה/בלאדי/מזרחי,סלטי שמיר"
"סלט חומוס אבו גוש, שופרסל, שמיר","Salad, humus,  Abu Ghosh, Tzabar",271,"Food item: Salad, humus,  Abu Ghosh, Tzabar","מזון: סלט חומוס אבו גוש, שופרסל, שמיר"
"סלט חומוס מזרחי/בומבה, שמיר","Salad, humus,  Mizrachi/Bomba, Shamir",243,"Food item: Salad, humus,  Mizrachi/Bomba, Shamir","מזון: סלט חומוס מזרחי/בומבה, שמיר"
כדורי פלאפל מטוגנים בשמן סויה,"Falafel (chickpea) balls, fried in soy oil",269,"Food item: Falafel (chickpea) balls, fried in soy oil",מזון: כדורי פלאפל מטוגנים בשמן סויה
"חומוס, גרגירים, מבושלים עם מלח","Chickpeas, dry, cooked, fat not added in cooking",180,"Food item: Chickpeas, dry, cooked, fat not added in cooking","מזון: חומוס, גרגירים, מבושלים עם מלח"
חומוס יבש,"Chickpeas, dried",364,"Food item: Chickpeas, dried",מזון: חומוס יבש
"חומוס, גרגירים משומרים","Chickpeas, canned",119,"Food item: Chickpeas, canned","מזון: חומוס, גרגירים משומרים"
חומוס מבושל ברוטב עגבניות ושמן זית,"Chickpeas, cooked in tomato sauce and olive oil",151,"Food item: Chickpeas, cooked in tomato sauce and olive oil",מזון: חומוס מבושל ברוטב עגבניות ושמן זית
"חטיף חומוס, מקלוני חומוס או דבאייל הודי, יעקובי","Chickpeas, humus snacks, debail (Indian) fried, Yaacobi",442,"Food item: Chickpeas, humus snacks, debail (Indian) fried, Yaacobi","מזון: חטיף חומוס, מקלוני חומוס או דבאייל הודי, יעקובי"
"אפונה יבשה, מבושלת, ללא תוספת שומן בבישול, עם מלח","Peas, green or yellow split, dry, cooked, fat not added",117,"Food item: Peas, green or yellow split, dry, cooked, fat not added","מזון: אפונה יבשה, מבושלת, ללא תוספת שומן בבישול, עם מלח"
"אפונה ירוקה, מטוגנת/ קלויה","Peas, green, fried/roasted",437,"Food item: Peas, green, fried/roasted","מזון: אפונה ירוקה, מטוגנת/ קלויה"
אליצ'ה אפונה אתיופי,"Peas, Alicha, Ethiopian dish",149,"Food item: Peas, Alicha, Ethiopian dish",מזון: אליצ'ה אפונה אתיופי
אפונה יבשה,"Peas, dried",341,"Food item: Peas, dried",מזון: אפונה יבשה
"אליצ'ה אפונה וירקות אתיופי, עם שמן סויה","Peas and vegetables, Alicha, with soy oil, Ethiopian dish",140,"Food item: Peas and vegetables, Alicha, with soy oil, Ethiopian dish","מזון: אליצ'ה אפונה וירקות אתיופי, עם שמן סויה"
וואט חומוס אתיופי,"Chickpeas, Wat, Ethiopian humus",178,"Food item: Chickpeas, Wat, Ethiopian humus",מזון: וואט חומוס אתיופי
וואט עדשים אתיופי,"Lentils, Wat, Ethiopian dish",145,"Food item: Lentils, Wat, Ethiopian dish",מזון: וואט עדשים אתיופי
"עדשים יבשים, מבושלים עם מלח, ללא תוספת שומן בבישול","Lentils, dry, cooked, fat not added ",115,"Food item: Lentils, dry, cooked, fat not added","מזון: עדשים יבשים, מבושלים עם מלח, ללא תוספת שומן בבישול"
עדשים מבושלים עם בצל ושמן סויה,"Lentils, cooked with onion and soy oil",129,"Food item: Lentils, cooked with onion and soy oil",מזון: עדשים מבושלים עם בצל ושמן סויה
"עדשים מבושלים עם אינג'ירה, פיטפיט אתיופי","Lentils, cooked, with injera, Fit-fit, Ethiopian dish",121,"Food item: Lentils, cooked, with injera, Fit-fit, Ethiopian dish","מזון: עדשים מבושלים עם אינג'ירה, פיטפיט אתיופי"
עדשים יבשים,"Lentils, dried",338,"Food item: Lentils, dried",מזון: עדשים יבשים
"חומוס מטוגן, פיצוחית","Chickpeas, fried",442,"Food item: Chickpeas, fried","מזון: חומוס מטוגן, פיצוחית"
"חומוס קלוי, גת","Chickpeas, roasted, Gat",370,"Food item: Chickpeas, roasted, Gat","מזון: חומוס קלוי, גת"
"חמין צמחוני עם גריסי פנינה, חומוס, ביצה ותפוח אדמה","Cholent, vegetarian with pearl barley, chickpeas, egg, potatoes",107,"Food item: Cholent, vegetarian with pearl barley, chickpeas, egg, potatoes","מזון: חמין צמחוני עם גריסי פנינה, חומוס, ביצה ותפוח אדמה"
"סויה, פולים קלויים עם מלח","Soy, beans roasted, salted ",471,"Food item: Soy, beans roasted, salted","מזון: סויה, פולים קלויים עם מלח"
טופו מטוגן בשמן סויה,"Tofu, fried in soy oil",265,"Food item: Tofu, fried in soy oil",מזון: טופו מטוגן בשמן סויה
טופו מטוגן בשמן זית,"Tofu, fried in olive oil",265,"Food item: Tofu, fried in olive oil",מזון: טופו מטוגן בשמן זית
"ממרח על בסיס סויה, בסגנון גבינה לבנה, 28% שומן, טופוטי","Tofu cheese, soft, 28% fat, Tofutti",285,"Food item: Tofu cheese, soft, 28% fat, Tofutti","מזון: ממרח על בסיס סויה, בסגנון גבינה לבנה, 28% שומן, טופוטי"
גבינת טופו צהובה,"Tofu cheese, yellow",314,"Food item: Tofu cheese, yellow",מזון: גבינת טופו צהובה
"טמפה, מזון אינדונזי שורשי, קפוא, כפרי בריא","Tempeh, frozen",190,"Food item: Tempeh, frozen","מזון: טמפה, מזון אינדונזי שורשי, קפוא, כפרי בריא"
